Product Name,Price (PKR),Product Link,Image URL
health care,N/A,https://www.dvago.pk/p/glucerna-powder-vanilla-400g,/_next/image?url=https%3A%2F%2Fdvago-assets.s3.ap-southeast-1.amazonaws.com%2Fdvago-products-images%2Fglucerna-powder-vanilla-400g.webp&w=1920&q=50
consumer,N/A,https://www.dvago.pk/p/nido-1-900gs,/_next/image?url=https%3A%2F%2Fdvago-assets.s3.ap-southeast-1.amazonaws.com%2FProductsImages%2F20685.jpg&w=1920&q=50
medicine,N/A,https://www.dvago.pk/p/eventone-c-cream-1s,/_next/image?url=https%3A%2F%2Fdvago-assets.s3.ap-southeast-1.amazonaws.com%2FProductsImages%2F11772.webp&w=1920&q=50
health care,N/A,https://www.dvago.pk/p/cac-1000-plus-tablets-orange-20s,/_next/image?url=https%3A%2F%2Fdvago-assets.s3.ap-southeast-1.amazonaws.com%2FProductsImages%2F14790.webp&w=1920&q=50
health care,N/A,https://www.dvago.pk/p/surbex-z-tablets-30s,/_next/image?url=https%3A%2F%2Fdvago-assets.s3.ap-southeast-1.amazonaws.com%2Fdvago-products-images%2Fsurbex-z-tablets-30s.webp&w=1920&q=50
medicine,N/A,https://www.dvago.pk/p/panadol-500mg-tablets,/_next/image?url=https%3A%2F%2Fdvago-assets.s3.ap-southeast-1.amazonaws.com%2Fdvago-products-images%2Fpanadol-500mg-tablets.webp&w=1920&q=50
health care,N/A,https://www.dvago.pk/p/skin-aqua-clear-white-spf50,/_next/image?url=https%3A%2F%2Fdvago-assets.s3.ap-southeast-1.amazonaws.com%2FProductsImages%2F15718.jpg&w=1920&q=50
consumer,N/A,https://www.dvago.pk/p/senior-adult-diapers-extra-large-single,/_next/image?url=https%3A%2F%2Fdvago-assets.s3.ap-southeast-1.amazonaws.com%2FProductsImages%2F14933.jpg&w=1920&q=50
consumer,N/A,https://www.dvago.pk/p/nan-2-300gs,/_next/image?url=https%3A%2F%2Fdvago-assets.s3.ap-southeast-1.amazonaws.com%2FProductsImages%2F20687.png&w=1920&q=50
medicine,N/A,https://www.dvago.pk/p/osnate-d-tablets-30s,/_next/image?url=https%3A%2F%2Fdvago-assets.s3.ap-southeast-1.amazonaws.com%2Fdvago-products-images%2Fosnate-d-tablets-30s.webp&w=1920&q=50
health care,N/A,https://www.dvago.pk/p/cac-1000-plus-tablets-lemon-20s,/_next/image?url=https%3A%2F%2Fdvago-assets.s3.ap-southeast-1.amazonaws.com%2FProductsImages%2F16028.webp&w=1920&q=50
health care,N/A,https://www.dvago.pk/p/cac-1000-plus-tablets-orange-10s,/_next/image?url=https%3A%2F%2Fdvago-assets.s3.ap-southeast-1.amazonaws.com%2FProductsImages%2F14788.webp&w=1920&q=50
health care,N/A,https://www.dvago.pk/p/ensure-powder-vanilla-400g,/_next/image?url=https%3A%2F%2Fdvago-assets.s3.ap-southeast-1.amazonaws.com%2Fdvago-products-images%2Fensure-powder-vanilla-400g.webp&w=1920&q=50
consumer,N/A,https://www.dvago.pk/p/senior-pull-up-adult-diapers-extra-large-10-count,/_next/image?url=https%3A%2F%2Fdvago-assets.s3.ap-southeast-1.amazonaws.com%2FProductsImages%2F15663.webp&w=1920&q=50
consumer,N/A,https://www.dvago.pk/p/meiji-big-growing-up-formula-powdered-milk-900g,/_next/image?url=https%3A%2F%2Fdvago-assets.s3.ap-southeast-1.amazonaws.com%2FProductsImages%2F09360-1.jpg&w=1920&q=50
medicine,N/A,https://www.dvago.pk/p/neurobion-tablets-10x10s,/_next/image?url=https%3A%2F%2Fdvago-assets.s3.ap-southeast-1.amazonaws.com%2FProductsImages%2F08384.jpg&w=1920&q=50
medicine,N/A,https://www.dvago.pk/p/synflex-tablets-550mg-30s,/_next/image?url=https%3A%2F%2Fdvago-assets.s3.ap-southeast-1.amazonaws.com%2FProductsImages%2F05625-3_600x600.png&w=1920&q=50
health care,N/A,https://www.dvago.pk/p/cac-1000-plus-tablets-mango-20s,/_next/image?url=https%3A%2F%2Fdvago-assets.s3.ap-southeast-1.amazonaws.com%2FProductsImages%2F14234.webp&w=1920&q=50
consumer,N/A,https://www.dvago.pk/p/morinaga-bf-1-infant-formula-milk-powder-400g,/_next/image?url=https%3A%2F%2Fdvago-assets.s3.ap-southeast-1.amazonaws.com%2FProductsImages%2F09602.jpg&w=1920&q=50
consumer,N/A,https://www.dvago.pk/p/senior-pull-up-adult-diapers-large-single,/_next/image?url=https%3A%2F%2Fdvago-assets.s3.ap-southeast-1.amazonaws.com%2FProductsImages%2F14932.jpg&w=1920&q=50
