Title,Price,Old Price,Discount,Image URL
Bamboo Breakfast Bed Tray Table,"Rs. 4,599","Rs. 4,999",27%,https://www.hamzastore.pk/images/product_gallery/md_1638101119_fdczfszfc.jpg
Cloud Hook without punching bathroom & kitchen,Rs. 299,Rs. 399,48%,https://www.hamzastore.pk/images/product_gallery/md_1637928824_ezgif_com-gif-maker_(10).jpg
Electric Hand Mixer Egg Beater Scarlet Hand Mixer,"Rs. 2,399","Rs. 2,599",24%,https://www.hamzastore.pk/images/product_gallery/md_1637672381_scarlet.jpg
Spice Rack Organizer for Countertop 2 Tier,"Rs. 1,499","Rs. 1,799",46%,https://www.hamzastore.pk/images/product_gallery/md_1635757829_scx.jpg
13 Kgs Plastic Kitchen Rice Grain Cereal Food Dispenser Storage With Wheel,"Rs. 3,797","Rs. 7,792",51%,https://www.hamzastore.pk/images/product_gallery/md_1635599439_WhatsApp_Image_2021-10-30_at_12_17_52_PM.jpeg
10 Kgs Plastic Kitchen Rice Grain Cereal Food Dispenser Storage With Wheel,"Rs. 3,474","Rs. 6,936",50%,https://www.hamzastore.pk/images/product_gallery/md_1635599423_WhatsApp_Image_2021-10-30_at_12_17_52_PM.jpeg
Shower Scrub Gloves | Exfoliating Mitts Scrubbing Gloves | Bath Gloves Tan Removal,Rs. 799,Rs. 999,20%,https://www.hamzastore.pk/images/product_gallery/md_1725293166_61LKzZkANVL.jpg
High Waist Seamless Body Shaper Shorts,"Rs. 1,199","Rs. 1,499",20%,https://www.hamzastore.pk/images/product_gallery/md_1725118055_ffc9c125b7bf743b83af7798c15d6a96.gif
"Makeup Brush Holder, Rotating Cosmetic Makeup Organizer","Rs. 2,999","Rs. 3,499",14%,https://www.hamzastore.pk/images/product_gallery/md_1724516678_WhatsApp_Image_2024-08-24_at_21_17_37_d53d8807.jpg
Wax Heater Machine,"Rs. 1,450","Rs. 1,980",27%,https://www.hamzastore.pk/images/product_gallery/md_1723455085_Wax_Heater_Machine.jpg
Hair Loop Styling Tool,Rs. 300,Rs. 650,54%,https://www.hamzastore.pk/images/product_gallery/1723454983_Hair_Loop_Styling_Tool.webp
Porsch – Lip & Cheek Tint,Rs. 299,Rs. 349,14%,https://www.hamzastore.pk/images/product_gallery/md_1723117490_20240319_161152_0000.png
New Cute Pop Tubes Sensory Suction Cup Plastic Toy Deformable Novelty,Rs. 320,Rs. 499,36%,https://www.hamzastore.pk/images/product_gallery/1727107372_aab867a3176aa955dc90b6080b8ddc2d_jpg_720x720q80_jpg_.webp
4in1 Polka Dots Baby Bag – Blue,"Rs. 3,450","Rs. 4,500",23%,https://www.hamzastore.pk/images/product_gallery/md_1725790425_4in1_Polka_Dots_Baby_Bag_–_Blue.jpeg
Tinnies Baby Walker W/ Rocking – Black – BG-1207,"Rs. 19,000","Rs. 25,600",26%,https://www.hamzastore.pk/images/product_gallery/1725790329_Tinnies_Baby_Walker_W_Rocking_–_Black_–_BG-1207.webp
Tinnies Baby Walker W/ Rocking -Multi Color – BG-1208,"Rs. 20,000","Rs. 28,900",31%,https://www.hamzastore.pk/images/product_gallery/1725790213_Tinnies_Baby_Walker_Rocking_-Multi_Color_BG_1208.webp
Huanger Musical Push Walker For Toddlers Learning with Activity,"Rs. 5,360","Rs. 7,900",32%,https://www.hamzastore.pk/images/product_gallery/md_1725788251_Huanger_Musical_Push_Walker_For_Toddlers_Learning_with_Activity.jpg
Huanger 2 in 1 Electronic Walker For Toddlers Music Entertainment and Activity,"Rs. 5,950","Rs. 7,490",21%,https://www.hamzastore.pk/images/product_gallery/md_1725787830_Huanger_2_in_1_Electronic_Walker_For_Toddlers_Music_Entertainment_and_Activity.jpg
Multifunctional Portable Emergency Flashlight LED 3W Emergency Torch Light,Rs. 949,"Rs. 1,299",27%,https://www.hamzastore.pk/images/product_gallery/md_1727106476_download_7_eaa64725-5d62-4fba-ad3f-04849365dec7.jpg
Compact Ergonomic Acrylic Space Saver Chair,"Rs. 7,999","Rs. 8,999",11%,https://www.hamzastore.pk/images/product_gallery/md_1727080821_451142309_10161358352824105_3716280527510593290_n.jpeg
Aluminum Foil Thickened Butyl Waterproof Tape Roof Duct Repair Adhesive Tape,Rs. 799,"Rs. 1,299",38%,https://www.hamzastore.pk/images/product_gallery/1726653448_s-l500_(4).webp
New Disposable Shoe Cleaning Wipes - 80pcs in 1,Rs. 449,Rs. 599,25%,https://www.hamzastore.pk/images/product_gallery/md_1726152062_disposable-shoe-cleaning-wipes-quick-shine-clean-wet-wipes-80-wipes-in-1-packet-3.jpeg
WaterProof Mattress Sheet (For King Size Master Bed),"Rs. 1,099","Rs. 1,399",21%,https://www.hamzastore.pk/images/product_gallery/md_1725277512_WaterProofMattressSheet_ForMasterBed_1.jpg
Laundry Washboard Mat,Rs. 599,Rs. 899,33%,https://www.hamzastore.pk/images/product_gallery/md_1725121619_Hfffa36d8c0b54ec584c2a79e49e7c66aN.jpg
Happy Champion Water Cooler 13 Ltr (Red),"Rs. 4,853","Rs. 6,066",20%,https://www.hamzastore.pk/images/product_gallery/1725779629_Happy_Champion_Water_Cooler_13_Ltr_(Red).webp
Happy Champion Water Cooler 13 Ltr (Black),"Rs. 4,853","Rs. 6,065",20%,https://www.hamzastore.pk/images/product_gallery/1725779481_Happy_Champion_Water_Cooler_13_Ltr_(Black).webp
Happy Arizona H8 Gold Water Cooler,"Rs. 3,115","Rs. 4,300",28%,https://www.hamzastore.pk/images/product_gallery/1725778824_Happy_Arizona_H8_Gold_Water_Cooler.webp
Happy Champion Glass Top 4 Pcs Gift Pack (Black),"Rs. 10,343","Rs. 14,500",29%,https://www.hamzastore.pk/images/product_gallery/md_1725778624_Happy_Champion_Glass_Top_4_Pcs_Gift_Pack_(Black).jpg
