Product Name,Price (PKR),Product Link,Image URL
Samsung Galaxy A15 (4G 8GB 256GB Light Blue) With Official...,"Rs 54,999",https://homeshopping.pk/products/Samsung-Galaxy-A15-8GB-256GB-Light-Blue-Price-in-Pakistan.html,https://cdn.homeshopping.pk/product_images/s/538/WhatsApp_Image_2024-02-29_at_1.54.16_AM_%282%29__17889_thumb.jpg
Apple Wireless Charging Case for AirPods (Series...,"Rs 6,999",https://homeshopping.pk/products/Apple-Wireless-Charging-Case-Price-in-Pakistan.html,https://cdn.homeshopping.pk/product_images/o/688/apple_wireless_charging_case_for_airpods_3_-_tejar__08416_thumb.jpg
Tecno Spark Go 2024 (4G 4GB 64GB Magic Skin) With ...,"Rs 23,499",https://homeshopping.pk/products/Tecno-Spark-Go-2024-64GB-Magic-Skin-Price-in-Pakistan.html,https://cdn.homeshopping.pk/product_images/s/691/Tecno-Spark-Go-2024-Magic-Skin-1__85207_thumb.png
Tecno Pop 7 (4G 2GB 64GB Capri Blue) - With Offici...,"Rs 20,199",https://homeshopping.pk/products/Tecno-Pop-7-4GB-64GB-Blue-Price-in-Pakistan.html,https://cdn.homeshopping.pk/product_images/y/832/Tecno-Pop-7-Capri-Blue-1__74365_thumb.png
Tecno Spark 20 Pro (4G 8GB 256GB Sunset Blush) Wit...,"Rs 38,999",https://homeshopping.pk/products/Tecno-Spark-20-Pro-8GB-256GB-Sunset-Blush-Price-in-Pakistan.html,https://cdn.homeshopping.pk/product_images/c/480/Tecno-Spark-20-Pro-Sunset-Blush-1__19799_thumb.png
Infinix Smart 8 Plus (4G 4GB 64GB Timber Black) Wi...,"Rs 27,199",https://homeshopping.pk/products/Infinix-Smart-8-Plus-4GB-64GB-Black-Price-in-Pakistan.html,https://cdn.homeshopping.pk/product_images/y/364/infinix_6__78316_thumb.jpg
Xiaomi Redmi 13C (4G 6GB 128GB Glacier White) With...,"Rs 30,999",https://homeshopping.pk/products/Xiaomi-Redmi-13C-128GB-Glacier-White-Price-in-Pakistan.html,https://cdn.homeshopping.pk/product_images/w/712/Xiaomi-Redmi-13C-Glacier-White-2__36102_thumb.jpg
Vivo Y22 (4G 4GB 64GB Blue) With Official Warranty,"Rs 32,999",https://homeshopping.pk/products/Vivo-Y22-4G-4GB-64GB-Blue-With-Official-Warranty-Price-in-Pakistan.html,https://cdn.homeshopping.pk/product_images/v/143/be3403ec6c43eaa429f6bd489911bf5a__87074_thumb.png
Samsung Galaxy A15 (4G 8GB 256GB Light Blue) With ...,"Rs 54,999",https://homeshopping.pk/products/Samsung-Galaxy-A15-8GB-256GB-Light-Blue-Price-in-Pakistan.html,https://cdn.homeshopping.pk/product_images/s/538/WhatsApp_Image_2024-02-29_at_1.54.16_AM_%282%29__17889_thumb.jpg
Tecno Spark Go 2024 (4G 4GB 64GB Mystery White) Wi...,"Rs 23,499",https://homeshopping.pk/products/Tecno-Spark-Go-2024-64GB-White-Price-in-Pakistan.html,https://cdn.homeshopping.pk/product_images/r/860/Tecno-Spark-Go-2024-Mystery-White-1__82320_thumb.png
